provinsi,kab_kota
Maluku Utara,4. Kabupaten Halmahera Selatan
Maluku Utara,5. Kabupaten Kepulauan Sula
Maluku Utara,6. Kabupaten Halmahera Timur
Maluku Utara,7. Kabupaten Pulau Morotai
Maluku Utara,8. Kabupaten Pulau Taliabu
Maluku Utara,9. Kota Ternate
Maluku Utara,10. Kota Tidore Kepulauan
Papua,1. Kabupaten Asmat
Papua,2. Kabupaten Biak Numfor
Papua,3. Kabupaten Boven Digoel
Papua,4. Kabupaten Deiyai
Papua,5. Kabupaten Dogiyai
Papua,6. Kabupaten Intan Jaya
Papua,7. Kabupaten Jayapura
Papua,8. Kabupaten Jayawijaya
Papua,9. Kabupaten Keerom
Papua,10. Kabupaten Kepulauan Yapen
Papua,11. Kabupaten Lanny Jaya
Papua,12. Kabupaten Mamberamo Raya
Papua,13. Kabupaten Mamberamo Tengah
Papua,14. Kabupaten Mappi
Papua,15. Kabupaten Merauke
Papua,16. Kabupaten Mimika
Papua,17. Kabupaten Nabire
Papua,18. Kabupaten Nduga
Papua,19. Kabupaten Paniai
Papua,20. Kabupaten Pegunungan Bintang
Papua,21. Kabupaten Puncak
Papua,22. Kabupaten Puncak Jaya
Papua,23. Kabupaten Sarmi
Papua,24. Kabupaten Supiori
Papua,25. Kabupaten Tolikara
Papua,26. Kabupaten Waropen
Papua,27. Kabupaten Yahukimo
Papua,28. Kabupaten Yalimo
Papua,29. Kota Jayapura
Papua Barat,1. Kabupaten Fakfak
Papua Barat,2. Kabupaten Kaimana
Papua Barat,3. Kabupaten Manokwari
Papua Barat,4. Kabupaten Manokwari Selatan
Papua Barat,5. Kabupaten Maybrat
Papua Barat,6. Kabupaten Pegunungan Arfak
Papua Barat,7. Kabupaten Raja Ampat
Papua Barat,8. Kabupaten Sorong
Papua Barat,9. Kabupaten Sorong Selatan
Papua Barat,10. Kabupaten Tambrauw
Papua Barat,11. Kabupaten Teluk Bintuni
Papua Barat,12. Kabupaten Teluk Wondama
